id,codi_ine
288,25077
289,8079
290,43118
291,25113
292,25124
293,17117
294,43058
295,43072
296,43075
297,43076
298,25245
299,17211
300,17232
301,8308
302,25061
303,8241
304,17092
305,25047
306,25171
307,25061
308,25161
309,25049
310,25161
311,25053
312,8138
313,17082
314,17035
315,17139
316,8298
317,8215
318,17165
319,17208
320,17152
321,17152
322,17152
323,8256
324,8287
325,43011
326,8106
327,8046
328,8025
329,8034
330,8064
331,17152
332,17016
333,25209
334,17152
335,17152
336,17152
337,17152
338,17152
339,17152
340,17152
341,17152
342,17152
343,17152
344,17152
345,17152
346,17152
347,17152
348,17152
349,17152
350,17199
351,17199
352,17199
353,43065
354,17199
355,43051
356,8269
357,8269
358,43086
359,17152
360,43009
361,8030
362,8264
363,25097
364,17056
365,17001
366,17071
367,17167
368,17023
369,17023
370,17023
371,17023
372,25190
373,8065
374,17199
375,17199
376,17199
377,17199
378,8023
379,8058
380,25913
381,17199
382,25101
383,8234
384,8227
385,8154
386,25203
387,25203
388,25025
389,8036
390,17208
391,17207
392,17065
393,17174
394,17190
395,25234
396,25234
397,25234
398,25234
399,25234
400,17152
401,25243
402,17152
403,8902
404,8115
405,8296
406,17086
407,43127
408,43102
409,8083
410,17055
411,43112
412,43114
413,43154
414,17138
415,43157
416,43173
417,17143
418,17138
419,17138
420,17138
421,17138
422,8207
423,8251
424,17117
425,17048
426,17117
427,17163
428,17085
429,17117
430,17117
431,17117
432,17117
433,17215
434,17117
435,17020
436,17067
437,43067
438,43150
439,43149
440,43025
441,43084
442,17117
443,17117
444,8218
445,17058
446,25909
447,17063
448,8905
449,8904
450,8221
451,43097
452,17135
453,17152
454,17152
455,17152
456,8199
457,17152
458,17152
459,17152
460,8248
461,17152
462,25115
463,25115
464,25001
465,25044
466,25011
467,25011
468,25044
469,8288
470,17117
471,8254
472,8901
473,8002
474,17117
475,17117
476,8038
477,17117
478,17117
479,17117
480,17117
481,17117
482,8059
483,17117
484,25907
485,25907
486,43110
487,17117
488,17117
489,17117
490,17117
491,17110
492,17009
493,17106
494,17106
495,17050
496,25024
497,17026
498,25158
499,17005
500,25168
501,17049
502,17036
503,17199
504,17199
505,17199
506,17199
507,17199
508,17199
509,17199
510,25149
511,17199
512,17199
513,17199
514,17199
515,17199
516,17199
517,8051
518,25063
519,25148
520,25071
521,25182
522,43117
523,17117
524,17117
525,17117
526,17117
527,17117
528,17117
529,43003
530,17117
531,25105
532,17117
533,17084
534,25082
535,17117
536,25192
537,17024
538,17117
539,25153
540,25180
541,25206
542,25218
543,17117
544,25224
545,17117
546,17117
547,17117
548,17117
549,25193
550,25193
551,8228
552,25252
553,25183
554,17117
555,17117
556,17117
557,17117
558,17117
559,17117
560,17117
561,17117
562,17117
563,25031
564,17117
565,17117
566,25045
567,17117
568,25157
569,25181
570,17117
571,17117
572,17117
573,17117
574,17054
575,17117
576,17117
577,17054
578,17054
579,17054
580,17172
581,17054
582,17054
583,17054
584,17054
585,17054
586,17054
587,17054
588,25242
589,25225
590,25902
591,17117
592,17117
593,17117
594,17117
595,17117
596,17117
597,17117
598,17117
599,17117
600,17117
601,17117
602,17117
603,17117
604,17117
605,17054
606,17054
607,17117
608,17204
609,17117
610,43151
611,17117
612,17117
613,17117
614,17117
615,17117
616,17117
617,17117
618,17117
619,17117
620,17117
621,17117
622,17117
623,17117
624,17117
625,17117
626,8223
627,17117
628,43120
629,17117
630,17117
631,17062
632,17062
633,17062
634,17062
635,17062
636,17060
637,25123
638,17044
639,8113
640,8213
641,8182
642,8191
643,8010
644,8018
645,8141
646,25146
647,43066
648,25231
649,43103
650,25016
651,25210
652,25021
653,43062
654,8159
655,8159
656,43103
657,17006
658,17206
659,17061
660,8220
661,8237
662,43140
663,43111
664,17187
665,25033
666,17225
667,8050
668,8201
669,43033
670,43116
671,25030
672,43057
673,43142
674,17159
675,8222
676,8140
677,8094
678,8094
679,25003
680,25003
681,25070
682,25151
683,25151
684,25070
685,43022
686,8152
687,43056
688,17117
689,17117
690,17117
691,17117
692,25225
693,25154
694,25145
695,25130
696,17161
697,43046
698,25078
699,17109
700,17117
701,17117
702,17117
703,17117
704,17117
705,43040
706,17117
707,17117
708,17117
709,17117
710,17117
711,17117
712,17117
713,17117
714,17117
715,25032
716,8020
717,43053
718,17098
719,8068
720,8001
721,8295
722,8265
723,25217
724,17073
725,17162
726,8297
727,25173
728,25173
729,17169
730,43164
731,8026
732,8297
733,17154
734,17088
735,17051
736,8168
737,8129
738,8129
739,8129
740,8129
741,17090
742,8013
743,25088
744,8206
745,8235
746,8193
747,8203
748,17015
749,8007
750,17039
751,17107
752,8032
753,17227
754,17214
755,43138
756,17118
757,43103
758,43103
759,43094
760,25191
761,25216
762,17118
763,17118
764,17118
765,17195
766,17068
767,17124
768,17144
769,17021
770,17155
771,25004
772,25228
773,25004
774,25048
775,25099
776,25135
777,25137
778,25230
779,43013
780,43013
781,43013
782,43013
783,43013
784,43013
785,43013
786,43013
