Municipi,Província,% Bonificació,Vigència de l'ordenança (anys),Any,Enllaç
Santa Perpètua de Mogoda,Barcelona,"50,00%",3,2020,http://staperpetua.cat/menu-principal/ajuntament-seu/normativa-ordenances/normativa-i-ordenances
Santpedor,Barcelona,"50,00%",3,2020,https://www.seu-e.cat/ca/web/santpedor/govern-obert-i-transparencia/accio-de-govern-i-normativa/normativa-plans-i-programes/ordenances-fiscals
Sora,Barcelona,"40,00%",5,2020,https://bop.diba.cat/temp/12_022019022372.pdf
Tàrrega,Lleida,Entre un 12% - 20% en funció de la qualificació energètica,4,2020,https://bop.diputaciolleida.cat/faces/consultaF/servlets/donarEdicte/?id=2019_247_9022
Terrassa,Barcelona,"50,00%",5,2020,https://seuelectronica.terrassa.cat/documents/16/410907/04_Informes_tecnics_Annex_OOFF_2020.pdf/4c9a2152-cc4f-4b60-bdc3-d0a2479a3418
Vacarisses,Barcelona,"50,00%",5,2019,http://www.vacarisses.cat/files/doc2225/ordenanca-fiscal-num-1-impost-bens-immobles-2020.pdf
Vallirana,Barcelona,"30,00%",10,2018,https://bop.diba.cat/temp/12_022018024795.pdf
Vic,Barcelona,"50,00%",5,2017,https://bop.diba.cat/temp/12_022019022741.pdf
Vidreres,Barcelona,"50,00%",10,2020,http://www.vidreres.cat/sites/default/files/fitxers/llistats/llibret_ordenances_fiscals_2016.pdf
Vilada,Barcelona,"50,00%",3,2019,https://www.seu-e.cat/ca/web/vilada/govern-obert-i-transparencia/accio-de-govern-i-normativa/normativa-plans-i-programes/ordenances-fiscals
Viladecans,Barcelona,"50,00%",3,2019,https://seuelectronica.viladecans.cat/images/documents/Ordenances/fiscales/2019/ORDENANZAFISCAL2019101IBI.pdf
Vilanova i la Geltrú,Barcelona,"40,00%",3,2020,https://seuelectronica.vilanova.cat/content/tramits/2020_OF2.pdf
